rank,service_number,first_name,last_name,date_of_award,country,aircraft_type,flight_hours,flight_missions,flight_awards
Captain,2836619,Dre,McGookin,4/16/2022,Vietnam,F-16,7190,773,Air Force Commendation Medal
Major,5225774,Lorry,Barby,8/16/2022,Italy,A-10,8152,317,Air Medal
Corporal,7243152,Lewiss,Golding,7/12/2022,Indonesia,F-22,1307,475,Air Force Achievement Medal
Colonel,5075291,Costanza,Sandys,9/27/2022,Serbia,F-35,7089,996,Distinguished Flying Cross
Private,4275736,Harold,Finlaison,8/29/2022,China,F-16,7907,186,Air Medal
Captain,3337533,Morena,Sabate,5/23/2022,Indonesia,F-16,7784,278,Distinguished Flying Cross
General,7725694,Milli,Dable,10/22/2022,Yemen,F-22,8188,456,Air Medal
General,2886296,Andrej,Buckel,8/11/2022,China,F-16,6311,703,Distinguished Flying Cross
Major,4728997,Stavro,Mallindine,10/12/2022,Thailand,F-16,6086,524,Air Force Achievement Medal
Major,4991053,Perceval,Durrand,8/3/2022,Latvia,F-18,5307,118,Air Medal
Corporal,9670035,Robbin,Hatcher,4/29/2022,China,F-18,2206,533,Air Force Commendation Medal
Captain,5376720,Christiano,Burbidge,1/14/2023,Indonesia,F-18,9967,906,Air Force Achievement Medal
Major,1045423,Alethea,Kellington,7/2/2022,China,F-18,6128,287,Air Medal
Colonel,2525992,Frieda,Schutter,10/2/2022,Yemen,F-35,8778,646,Air Force Achievement Medal
Sergeant,9815658,Mathilde,Pleager,1/4/2023,China,F-22,1926,707,Air Medal
Sergeant,9661437,Darill,Pauleau,11/25/2022,Pakistan,A-10,2118,626,Air Force Achievement Medal
General,4712182,Bryn,Kiddey,12/25/2022,Colombia,A-10,480,850,Air Medal
Major,6157016,Myranda,Erasmus,5/7/2022,Indonesia,A-10,9387,372,Air Force Achievement Medal
Captain,9259292,Melly,Ketteman,6/1/2022,Nigeria,F-22,875,908,Air Medal
Major,3907389,Alick,McEntegart,6/25/2022,China,F-18,8220,714,Distinguished Flying Cross
Captain,2269724,Cathleen,Lamartine,3/7/2023,Cuba,F-18,1691,9,Air Force Achievement Medal
Colonel,3107255,Sonja,Gammet,5/21/2022,Tanzania,F-35,1643,643,Distinguished Flying Cross
Major,1449944,Vanda,Managh,2/17/2023,Ukraine,F-16,6093,111,Air Medal
Sergeant,4076468,Randee,Furlow,10/11/2022,Greece,F-35,6091,589,Air Force Achievement Medal
Major,2430560,Hetty,Jerger,8/14/2022,Bolivia,F-18,2916,144,Air Medal
General,8131829,Hamnet,Durtnal,10/20/2022,Netherlands,F-35,633,767,Air Force Achievement Medal
General,3181958,Cassius,Huggins,12/3/2022,China,F-16,5890,862,Air Force Achievement Medal
Captain,6906665,Alvinia,Ginnane,3/18/2023,Russia,F-22,5378,501,Air Force Commendation Medal
Sergeant,1175867,Jaine,Kaley,12/7/2022,Macedonia,F-35,6278,504,Distinguished Flying Cross
Lieutenant,3793005,Danny,Brocklehurst,9/12/2022,Thailand,F-16,6774,511,Air Medal
Colonel,8200484,Myriam,Cullinan,11/11/2022,Brazil,A-10,8041,650,Air Medal
Major,9337164,Katha,Stallon,6/1/2022,Brazil,F-16,7610,163,Air Force Achievement Medal
Colonel,8155378,Gerrard,Arrundale,8/17/2022,China,F-18,6722,831,Distinguished Flying Cross
Lieutenant,5508212,Thorn,Stoffler,8/1/2022,Spain,F-35,1308,681,Air Medal
Colonel,7832327,Der,Joslin,5/18/2022,China,A-10,4076,854,Distinguished Flying Cross
Lieutenant,3226301,Lloyd,Garret,4/20/2022,Japan,F-16,5264,734,Distinguished Flying Cross
Sergeant,1624757,Marys,Wardhaw,8/9/2022,Portugal,F-16,547,407,Distinguished Flying Cross
Corporal,3591047,Pasquale,Etchells,1/4/2023,Burkina Faso,F-22,3479,60,Distinguished Flying Cross
Captain,6914378,Sabine,Orpyne,3/6/2023,China,F-35,4540,14,Air Medal
Corporal,8623462,Bearnard,Twaite,5/6/2022,Belarus,A-10,947,506,Air Force Achievement Medal
Lieutenant,8532070,Batsheva,Mabone,5/27/2022,Lithuania,A-10,3583,214,Air Medal
Corporal,6686118,Renault,Garmans,12/21/2022,Japan,F-35,4847,682,Air Force Commendation Medal
Sergeant,4422872,Hy,Garratty,10/9/2022,China,A-10,6800,517,Air Force Commendation Medal
Corporal,9359094,Jacki,Kenwyn,5/4/2022,China,F-18,4830,924,Air Force Commendation Medal
General,4639640,Marice,Hidderley,1/11/2023,Indonesia,F-22,3077,605,Air Force Commendation Medal
Private,4757731,Gerardo,Cleynman,8/8/2022,Mexico,A-10,5163,437,Air Force Achievement Medal
Colonel,9401235,Saxe,Jaycock,3/4/2023,Brazil,F-22,7635,634,Distinguished Flying Cross
Colonel,1423753,Genevra,Costello,8/21/2022,Indonesia,F-35,9168,829,Air Force Achievement Medal
Colonel,1872661,Gilbertine,Stanners,12/3/2022,Indonesia,F-18,9075,859,Distinguished Flying Cross
Corporal,1704111,Ami,Gerrelt,1/15/2023,Russia,F-35,381,40,Air Medal
Colonel,7047515,Eben,Jerosch,10/30/2022,Indonesia,F-35,1764,125,Air Medal
Major,2194710,Melamie,Andri,11/14/2022,China,F-18,2615,491,Distinguished Flying Cross
Captain,3943545,Celestyna,Croan,1/12/2023,Indonesia,A-10,5327,753,Air Force Achievement Medal
General,7322257,Lucio,Lewsam,9/5/2022,Colombia,F-16,2916,119,Air Force Commendation Medal
Corporal,8848078,Gian,Sumner,12/22/2022,Russia,F-16,9355,767,Air Force Achievement Medal
Lieutenant,4353752,Othilia,Pietzner,2/19/2023,Indonesia,F-22,1847,481,Air Medal
Colonel,4758970,Mair,Saenz,9/9/2022,Indonesia,F-18,2907,583,Distinguished Flying Cross
Lieutenant,4836858,Lacie,Clew,5/29/2022,Philippines,A-10,3833,595,Distinguished Flying Cross
Sergeant,6580037,Rozalin,Shropsheir,7/5/2022,Portugal,F-22,6813,953,Air Force Commendation Medal
Colonel,6539065,Randall,Rumens,10/25/2022,Pakistan,F-35,7638,414,Distinguished Flying Cross
General,7127821,Sharon,Rainey,7/26/2022,Brazil,F-22,1995,353,Air Medal
General,3297799,Gnni,Laker,10/21/2022,Colombia,F-18,3139,675,Air Force Achievement Medal
Private,2331031,Calvin,Birdis,12/11/2022,Azerbaijan,F-18,9730,897,Air Force Commendation Medal
Captain,4365063,Raphael,Bransom,1/16/2023,China,A-10,2248,830,Distinguished Flying Cross
Private,8888774,Marcelia,Aleksich,10/25/2022,Bosnia and Herzegovina,F-22,78,846,Air Medal
Private,6571828,Kai,Wedlock,10/15/2022,Poland,F-18,4684,346,Air Medal
Corporal,4318598,Toddy,Ondrak,5/2/2022,China,F-18,3976,534,Distinguished Flying Cross
Captain,1092010,Olga,Sibbons,12/27/2022,North Korea,F-22,4625,46,Air Force Achievement Medal
Captain,4793322,Artus,Hurring,8/10/2022,Sweden,F-16,8917,905,Air Force Achievement Medal
Captain,7248458,Rochella,Wetherald,11/17/2022,China,F-18,8105,31,Air Force Achievement Medal
Private,7766081,Teressa,Giblett,8/11/2022,Czech Republic,A-10,8626,548,Air Force Commendation Medal
General,2049803,Desirae,Toffolo,4/25/2022,Peru,A-10,5540,622,Distinguished Flying Cross
Sergeant,3723917,Anjela,Blezard,3/4/2023,China,F-18,7745,763,Air Medal
Lieutenant,1018345,Richmound,Fidler,9/6/2022,Russia,A-10,2249,419,Air Force Achievement Medal
Corporal,3356885,Adda,Longstreeth,9/30/2022,Russia,F-18,6128,846,Air Force Commendation Medal
Corporal,4669708,Silvana,Tenbrug,11/15/2022,Japan,A-10,757,341,Distinguished Flying Cross
Corporal,2755469,Paulette,Althorpe,3/26/2023,China,F-35,6060,199,Air Force Commendation Medal
Colonel,4894268,Sonny,Ranyell,8/30/2022,Russia,F-18,4922,781,Air Force Commendation Medal
Private,4415601,Leopold,Bradneck,7/21/2022,France,A-10,935,99,Air Force Achievement Medal
Major,5912866,Annette,Bassil,12/26/2022,Gambia,F-22,3,297,Air Force Achievement Medal
Colonel,4301839,Renate,Scouller,9/30/2022,Dominican Republic,A-10,7934,389,Air Medal
Lieutenant,4926247,Minna,Linscott,4/16/2022,Poland,A-10,3204,189,Air Force Commendation Medal
Lieutenant,8075264,Arnoldo,Spratley,3/20/2023,Indonesia,A-10,6907,601,Air Force Commendation Medal
Corporal,2453550,Any,Agate,1/13/2023,Indonesia,A-10,7625,338,Air Medal
Corporal,7033495,Richie,O'Dea,10/5/2022,China,F-16,8775,260,Air Force Commendation Medal
Private,4605676,Allison,Exposito,9/10/2022,Kazakhstan,F-16,9526,331,Air Medal
Lieutenant,2301269,Averil,Scothern,12/31/2022,Ukraine,F-22,7744,273,Air Force Achievement Medal
Colonel,1625660,Quinton,Stearn,6/14/2022,Sudan,F-22,4081,701,Air Force Achievement Medal
General,3424369,Rutter,Ecclestone,11/10/2022,Poland,F-18,661,271,Air Force Achievement Medal
Captain,3489901,Stanislas,Jansey,11/21/2022,Brazil,F-35,3889,159,Distinguished Flying Cross
Colonel,5042194,Bette-ann,Skellion,6/12/2022,Philippines,F-16,8523,85,Air Force Achievement Medal
Captain,8365007,Nilson,Lowndsborough,7/24/2022,Georgia,F-35,181,989,Air Force Commendation Medal
Major,9837699,Jereme,Coalburn,12/16/2022,Indonesia,F-16,1127,413,Air Medal
Sergeant,2052706,Nicol,Hamflett,1/28/2023,Indonesia,F-22,4482,646,Distinguished Flying Cross
Captain,7522885,Charmane,Paternoster,10/27/2022,Indonesia,F-16,5989,903,Distinguished Flying Cross
Sergeant,3706209,Sidonia,Kayser,10/3/2022,China,F-16,2392,294,Air Force Achievement Medal
Corporal,7202154,Lavinia,Otridge,12/12/2022,Czech Republic,F-35,1725,881,Distinguished Flying Cross
Major,9943960,Edan,Jeremiah,12/11/2022,Peru,F-35,3684,332,Air Medal
Sergeant,1426269,Aileen,Boyes,1/18/2023,Greece,F-18,383,836,Air Medal
Lieutenant,1243581,Gaston,Burnall,5/31/2022,Malaysia,F-35,2075,738,Air Medal
Colonel,4923132,Kittie,Willey,2/28/2023,China,F-18,7875,579,Distinguished Flying Cross
Private,4971138,Neila,Spikeings,12/5/2022,Russia,A-10,2345,196,Distinguished Flying Cross
Corporal,6598289,Nickolas,Adriaens,4/12/2022,Germany,F-35,2192,645,Air Force Commendation Medal
Major,3751241,Emerson,Iczokvitz,4/3/2023,Syria,F-16,7772,263,Air Medal
Captain,6887928,Estrellita,Frisdick,4/8/2023,Poland,F-16,1792,90,Air Force Commendation Medal
Corporal,7710460,Gilles,Greathead,8/17/2022,France,F-16,6766,993,Distinguished Flying Cross
Captain,5917268,Ethelyn,Shovel,10/5/2022,Indonesia,F-18,3911,309,Distinguished Flying Cross
Sergeant,5381635,Hedy,Pinnell,11/6/2022,China,F-18,2535,273,Air Medal
Captain,3886613,Honey,Mellody,8/11/2022,Brazil,F-22,4960,951,Air Medal
Private,4681325,Mame,Littledike,11/6/2022,China,F-35,759,580,Air Force Achievement Medal
Lieutenant,4916139,Jamaal,Gagen,7/23/2022,China,F-22,1793,477,Air Force Achievement Medal
Sergeant,2300072,Rubin,Scough,1/18/2023,China,F-18,5954,397,Air Force Achievement Medal
Lieutenant,2907135,Ardisj,Drayn,4/21/2022,Canada,F-22,8304,821,Distinguished Flying Cross
Corporal,3353199,Waldemar,Lamp,7/21/2022,Indonesia,F-18,4239,563,Air Medal
Lieutenant,7673767,Giffy,Clineck,4/30/2022,Ireland,F-22,7348,48,Air Medal
Lieutenant,9254640,Lucy,Haggett,8/20/2022,Mexico,F-16,3977,905,Air Force Commendation Medal
General,5045284,Kelly,Hollow,6/20/2022,France,A-10,7400,705,Air Force Commendation Medal
Lieutenant,7250653,Aarika,Wherry,8/11/2022,Indonesia,F-35,1636,565,Distinguished Flying Cross
Captain,2903160,Obie,Basnall,3/17/2023,Philippines,F-35,2062,430,Distinguished Flying Cross
Captain,9255393,Fancie,Barles,8/18/2022,Philippines,A-10,2816,30,Distinguished Flying Cross
Captain,1353409,Fitz,Cluse,4/14/2022,Saudi Arabia,F-18,7632,965,Air Force Commendation Medal
Major,6013084,Ivett,Coffin,1/19/2023,Tunisia,A-10,1996,813,Air Force Commendation Medal
General,8676140,Georgine,Pothergill,2/11/2023,Indonesia,F-22,3407,810,Distinguished Flying Cross
Captain,5251672,Lynnea,Chanson,3/30/2023,Egypt,F-22,9560,25,Air Force Commendation Medal
Lieutenant,4659154,Ruthe,Gilhouley,8/20/2022,China,A-10,6340,758,Distinguished Flying Cross
Sergeant,9600477,Burton,Ivanchin,3/1/2023,Italy,F-35,9124,365,Distinguished Flying Cross
General,3749850,Rozalin,Camp,5/28/2022,Poland,F-18,7644,660,Air Force Achievement Medal
Captain,5342283,Ericka,Normington,11/29/2022,Thailand,A-10,7074,737,Air Medal
Colonel,2313739,Konstantin,Vescovini,11/8/2022,China,F-22,2144,372,Air Force Commendation Medal
Major,9622160,Reuven,Warcup,9/18/2022,Kazakhstan,F-16,1684,987,Distinguished Flying Cross
Captain,8062677,Beau,Kingsmill,1/22/2023,Indonesia,F-18,5906,967,Air Force Achievement Medal
Captain,6976061,Corbett,Carss,12/9/2022,United States,A-10,2283,93,Air Force Achievement Medal
Colonel,2845797,Sharon,Edison,1/3/2023,Indonesia,F-22,831,403,Distinguished Flying Cross
Sergeant,8697101,Manda,Weldon,6/4/2022,Uganda,F-35,9055,301,Air Force Commendation Medal
Lieutenant,9842012,Erinn,Winspear,12/7/2022,Indonesia,A-10,6382,411,Distinguished Flying Cross
General,9859773,Scot,Rocks,10/20/2022,El Salvador,A-10,4919,84,Air Force Achievement Medal
Private,4447042,Claresta,Ord,7/26/2022,Russia,F-22,7100,950,Air Force Commendation Medal
Lieutenant,1736449,Paulita,Medeway,5/13/2022,China,F-18,1871,628,Distinguished Flying Cross
Captain,1609802,Cody,Drummond,5/23/2022,Brazil,F-18,9552,286,Air Force Achievement Medal
Lieutenant,9941080,Zulema,Filkov,9/11/2022,Vietnam,F-16,2723,250,Distinguished Flying Cross
Colonel,6376542,Adey,Gerbi,7/24/2022,Ukraine,F-35,6763,738,Air Force Achievement Medal
Captain,3225255,Denver,Bonnett,12/18/2022,Russia,F-35,6592,794,Distinguished Flying Cross
Corporal,1294482,Suzi,Bezarra,2/3/2023,China,F-35,6642,58,Air Force Commendation Medal
General,3600190,Ann-marie,Bramich,11/6/2022,Thailand,F-16,1361,374,Air Medal
Sergeant,8519661,Hamil,Frosdick,6/23/2022,Russia,F-35,9017,477,Air Medal
Major,8277747,Thomas,Rebanks,3/7/2023,Philippines,F-22,6257,192,Air Medal
Corporal,1733069,Edouard,Taffarello,5/6/2022,Poland,F-35,5235,439,Air Medal
Sergeant,8431113,Hieronymus,Pond-Jones,12/2/2022,South Africa,F-16,3183,40,Air Force Commendation Medal
Sergeant,9886457,Karly,Wingate,7/13/2022,Kazakhstan,F-16,6108,376,Air Medal
Private,9946403,Fancy,Tanti,5/16/2022,Serbia,A-10,8216,744,Air Force Achievement Medal
Sergeant,5898902,Stephine,Fallow,6/4/2022,China,F-35,9670,211,Air Force Commendation Medal
Sergeant,6179364,Sigrid,Biasini,5/16/2022,Indonesia,F-35,7235,847,Air Force Achievement Medal
Sergeant,3418408,Ali,Downing,8/20/2022,Laos,A-10,525,800,Air Medal
Corporal,4402033,Jori,Tollemache,12/9/2022,Hungary,F-22,9188,515,Air Force Commendation Medal
Corporal,4696309,Sissy,Girodin,12/3/2022,Brazil,F-16,807,897,Air Medal
General,3795658,Daryn,Haresnaip,5/11/2022,China,A-10,7681,963,Air Force Achievement Medal
Captain,2874280,Gilberta,Inde,9/28/2022,Indonesia,F-35,6542,973,Air Force Achievement Medal
Major,8602702,Tudor,Littlefair,12/9/2022,Netherlands,F-18,2776,261,Distinguished Flying Cross
Lieutenant,8568503,Markus,Killshaw,8/1/2022,Nigeria,F-22,6246,722,Distinguished Flying Cross
Captain,8999278,Heriberto,Cosins,6/5/2022,China,F-18,6355,925,Air Medal
Major,9132898,Davin,Cotes,5/30/2022,China,F-18,4192,466,Distinguished Flying Cross
Sergeant,5134077,Linus,Wickie,4/2/2023,Colombia,A-10,5745,865,Air Force Commendation Medal
Major,3874818,Dolli,Redpath,2/18/2023,Mongolia,A-10,2205,46,Air Medal
Major,7465431,Laverna,Kleinstern,8/28/2022,Bolivia,F-16,6197,466,Air Force Commendation Medal
Lieutenant,1127368,Gayelord,Lebourn,4/14/2022,Indonesia,A-10,6276,73,Air Force Commendation Medal
Sergeant,7919996,Lexie,Fallis,11/28/2022,Indonesia,F-22,8449,130,Air Force Commendation Medal
Sergeant,5785668,Bryn,Eltune,5/1/2022,Ukraine,F-22,3352,781,Distinguished Flying Cross
Lieutenant,7586304,Reggis,Linebarger,3/5/2023,Indonesia,F-35,4227,962,Air Medal
Sergeant,8902302,Callida,Stennes,12/14/2022,Indonesia,A-10,1308,472,Air Medal
Major,8603623,Max,Drage,10/1/2022,Czech Republic,F-35,2305,563,Air Force Achievement Medal
General,4264410,Cal,Zeale,11/29/2022,Iran,F-18,6484,443,Air Medal
Major,3453852,Mehetabel,Christoffersen,8/2/2022,Cameroon,F-35,3035,453,Air Medal
General,6805330,Hester,Eve,9/22/2022,Tanzania,F-22,1287,355,Distinguished Flying Cross
Lieutenant,9231063,Russ,Rooze,5/25/2022,Kenya,A-10,2112,456,Air Force Achievement Medal
Colonel,7006160,Xylia,Brendeke,3/29/2023,Norway,F-35,7669,726,Distinguished Flying Cross
Colonel,2057605,Free,Steabler,7/1/2022,China,F-18,4431,571,Air Force Commendation Medal
General,2464663,Mavis,Huddleston,1/31/2023,China,F-16,1008,348,Air Force Commendation Medal
Major,7308695,Noel,Juschka,10/8/2022,United States,F-18,8241,707,Air Medal
Lieutenant,6599692,Analise,Pelman,11/16/2022,San Marino,F-35,353,289,Air Force Achievement Medal
Corporal,1748114,Corrianne,Drugan,6/23/2022,Sweden,F-16,7665,902,Air Force Achievement Medal
Captain,4679416,Derk,Culmer,7/25/2022,Poland,F-35,6440,551,Air Medal
Major,6009940,Verene,Chubb,7/13/2022,Peru,F-22,9943,994,Air Force Achievement Medal
Private,5452641,Saundra,Sandbach,6/11/2022,Portugal,F-22,1233,129,Air Force Commendation Medal
Lieutenant,8209239,Monroe,Crothers,7/25/2022,China,F-18,3434,520,Air Force Achievement Medal
Corporal,1556834,Haslett,Okker,8/25/2022,Japan,F-35,6235,73,Air Force Achievement Medal
Private,8016575,Mitchael,Grove,7/30/2022,Greece,A-10,1077,18,Distinguished Flying Cross
Colonel,4059731,Tootsie,Collidge,5/29/2022,Czech Republic,F-18,3811,752,Air Force Achievement Medal
Corporal,3350226,Graig,Lyst,7/17/2022,Indonesia,F-35,2063,971,Distinguished Flying Cross
Private,5161804,Douglass,Gorusso,2/13/2023,Philippines,A-10,6131,949,Distinguished Flying Cross
General,3251890,Bartram,Redolfi,1/20/2023,Indonesia,F-35,988,850,Air Force Achievement Medal
General,8124479,Nels,Furness,9/10/2022,China,F-16,3466,836,Distinguished Flying Cross
Lieutenant,3699419,Stace,Gallagher,3/15/2023,Philippines,F-16,5379,519,Distinguished Flying Cross
Corporal,1205958,Margarethe,Shropshire,6/17/2022,Russia,F-35,8219,232,Air Force Achievement Medal
Colonel,3400295,Lorri,Duley,7/20/2022,Philippines,F-22,5055,227,Air Medal
Sergeant,1538177,Olivero,Marrington,9/10/2022,Thailand,F-22,8887,698,Air Force Commendation Medal
Major,5972530,Laurice,Crumly,4/20/2022,China,A-10,7629,342,Air Force Commendation Medal
Colonel,7709506,Ardra,Dyde,10/8/2022,Iran,F-18,6528,113,Air Force Achievement Medal
Colonel,6629474,Abra,Pedel,2/1/2023,Sweden,F-22,7280,408,Air Medal
Lieutenant,1697732,Markos,Delete,9/13/2022,Brazil,F-22,6825,230,Distinguished Flying Cross
Major,2904668,Chrystal,Bowmaker,9/15/2022,Portugal,F-18,8542,84,Air Medal
Colonel,1830589,Devinne,Belford,3/7/2023,China,F-16,9550,388,Air Force Achievement Medal
Major,6986075,Fredrika,Girsch,10/7/2022,China,F-22,2109,233,Air Force Achievement Medal
General,8648298,Bern,Filkov,2/24/2023,Canada,F-35,3808,31,Air Force Achievement Medal
Sergeant,3688665,Elsinore,McTavy,9/7/2022,Czech Republic,F-18,4605,320,Air Force Achievement Medal
Corporal,3740113,Delcine,Sandison,12/5/2022,Japan,F-16,601,84,Air Medal
Corporal,6266346,Ed,Barrowcliffe,4/5/2023,Indonesia,A-10,2864,950,Air Medal
Major,8542152,Shurwood,Keedwell,7/1/2022,Indonesia,F-35,8522,0,Distinguished Flying Cross
Colonel,4605977,Hanan,Varney,6/11/2022,China,F-18,7415,818,Air Force Commendation Medal
Captain,6279078,Marillin,Picford,7/13/2022,China,F-16,1008,290,Air Force Commendation Medal
General,9303030,Jaclin,Thrussell,9/20/2022,Brazil,F-16,555,469,Air Force Achievement Medal
Major,7027731,Lucy,Disbrey,3/10/2023,China,F-18,5676,961,Air Medal
Major,9224371,Sarina,Pinshon,1/20/2023,Colombia,F-22,2802,568,Air Medal
General,8533951,Celine,Hubbucke,5/8/2022,Czech Republic,F-18,3548,2,Distinguished Flying Cross
Major,5754824,Jonell,Yes,11/25/2022,China,F-18,4788,831,Air Force Commendation Medal
Private,5862898,Coralie,Cowlam,4/21/2022,Nepal,F-16,5320,79,Air Medal
General,1635814,Evangelina,Ocheltree,6/3/2022,Brazil,F-22,9867,983,Distinguished Flying Cross
Captain,5598449,Marnia,Works,4/16/2022,Poland,F-16,7071,161,Air Medal
General,2972812,Jarret,Cutchie,12/16/2022,China,A-10,5657,282,Air Medal
Sergeant,1232222,Ophelia,Fiddeman,2/25/2023,Denmark,F-18,5495,199,Air Force Achievement Medal
Major,4894984,Karry,Wyllcocks,4/12/2022,Sudan,F-18,2155,887,Distinguished Flying Cross
Sergeant,3462963,Tammara,Hanbridge,8/10/2022,China,F-22,5851,921,Distinguished Flying Cross
General,6210314,Alfi,Mc Gorley,11/30/2022,Sweden,A-10,107,334,Distinguished Flying Cross
Captain,9361036,Constantina,Postle,10/10/2022,Indonesia,F-16,7918,344,Air Medal
Sergeant,1450286,Nicko,Ramelet,3/25/2023,China,F-18,3761,263,Air Medal
Corporal,5244794,Roch,Di Meo,2/20/2023,Cyprus,F-35,2359,265,Air Medal
Colonel,9009719,Tracey,Boffin,7/26/2022,Greece,A-10,6325,954,Air Force Commendation Medal
Corporal,1901179,Humfried,Ellwell,3/24/2023,China,F-16,1861,863,Air Force Commendation Medal
Sergeant,4650961,Estrellita,Hammon,10/24/2022,Egypt,F-35,3245,103,Air Force Commendation Medal
Major,2353658,Farly,Schrinel,2/17/2023,Indonesia,F-22,431,245,Air Force Achievement Medal
Lieutenant,5681963,Quentin,Matelyunas,12/10/2022,China,F-35,9816,876,Air Force Achievement Medal
General,7699640,Agatha,Creech,10/22/2022,China,F-22,7397,409,Distinguished Flying Cross
Sergeant,6987991,Gal,Lesper,1/24/2023,Russia,F-16,5893,532,Air Medal
Lieutenant,7228698,Romona,Hanmore,5/15/2022,China,F-16,2692,406,Air Force Commendation Medal
Corporal,5802186,Blondelle,Job,7/18/2022,Guatemala,A-10,8121,333,Air Force Achievement Medal
Corporal,2925989,Arlin,McGrory,3/18/2023,China,F-16,6728,276,Air Force Commendation Medal
Corporal,3411141,Rois,Tootell,12/6/2022,China,F-35,6305,648,Air Force Achievement Medal
Colonel,4116904,Laverna,Beekman,11/10/2022,Egypt,A-10,4526,368,Distinguished Flying Cross
Colonel,1015769,Brok,Ianno,2/8/2023,China,F-22,2932,339,Air Force Achievement Medal
Private,8029467,Bobby,Pear,2/23/2023,Serbia,F-16,1677,747,Air Medal
Major,1738112,Kellie,McGunley,12/29/2022,Estonia,F-22,816,713,Air Force Achievement Medal
Lieutenant,5225313,Scot,Bodesson,11/4/2022,Egypt,F-18,4053,120,Air Force Commendation Medal
Lieutenant,7201613,Dianne,Arpino,5/20/2022,Lithuania,A-10,7160,480,Air Force Commendation Medal
Major,1253901,Celeste,Curzon,10/17/2022,Malaysia,F-16,4593,634,Air Force Commendation Medal
Colonel,4878431,Alisun,Dorling,10/14/2022,China,F-22,4592,650,Distinguished Flying Cross
General,9571025,Susan,Preator,4/30/2022,Poland,F-18,8900,45,Air Force Commendation Medal
Major,3510087,Mychal,Dorset,2/27/2023,United States,F-16,9726,590,Air Medal
Corporal,7237350,Vyky,Markwick,7/26/2022,China,F-16,751,43,Air Force Achievement Medal
Lieutenant,1159404,Randie,Spiniello,10/23/2022,Russia,F-22,6721,921,Air Medal
Captain,5083531,Mahala,Hamlen,9/26/2022,Indonesia,F-22,1496,279,Air Medal
Major,3851026,Inge,Idale,11/19/2022,Slovenia,A-10,4536,452,Air Force Commendation Medal
Private,2783282,Barbara-anne,De Ambrosis,3/15/2023,Philippines,F-18,7802,337,Air Force Achievement Medal
Corporal,2450269,Jemimah,McPheat,9/27/2022,Russia,F-18,7887,350,Distinguished Flying Cross
Major,4281967,Coriss,Lunbech,8/12/2022,Portugal,F-22,4161,343,Air Medal
General,8104022,Claudius,Beirne,11/10/2022,Russia,F-18,6656,801,Air Force Achievement Medal
Corporal,4043071,Gideon,Di Carlo,1/31/2023,Russia,A-10,4827,569,Air Medal
Captain,3767352,Bethany,Lillie,10/23/2022,Indonesia,A-10,9844,937,Distinguished Flying Cross
Lieutenant,6552465,Brandtr,Ruggieri,9/25/2022,Argentina,F-22,3548,864,Air Medal
Private,5050354,Olin,Kattenhorn,1/5/2023,China,F-22,2411,956,Air Medal
Sergeant,8456112,Elke,Fiddymont,7/17/2022,Madagascar,F-18,1543,902,Distinguished Flying Cross
Major,9958188,Arlen,McCleod,2/4/2023,Syria,F-22,6132,409,Air Force Commendation Medal
Private,7819832,Korie,Malyj,3/10/2023,Bangladesh,F-35,5136,700,Air Force Commendation Medal
Lieutenant,6212448,Fidelity,O'Connell,3/5/2023,Indonesia,A-10,360,589,Air Force Achievement Medal
Major,5452037,Barbabra,Issett,9/11/2022,Indonesia,F-22,436,149,Distinguished Flying Cross
Major,4643066,Hunt,Waith,11/12/2022,Trinidad and Tobago,F-22,4946,969,Air Force Commendation Medal
Captain,4709963,Fanchon,Gebbie,1/10/2023,Nigeria,A-10,3487,844,Air Medal
Major,8593268,Chevy,Pembery,11/6/2022,Bangladesh,A-10,5556,893,Distinguished Flying Cross
Captain,1882709,Ade,Schutte,10/1/2022,Czech Republic,F-16,4140,335,Air Force Achievement Medal
Private,2298712,Cariotta,Kesteven,3/13/2023,Sierra Leone,F-18,5748,462,Air Force Achievement Medal
Private,9486432,Xenia,Hemerijk,11/15/2022,Thailand,F-16,1341,218,Air Medal
Colonel,2668148,Dacia,Franies,1/9/2023,Mongolia,F-16,4766,15,Air Medal
Major,3174714,Maurita,Trenfield,7/17/2022,Indonesia,F-35,8669,690,Air Force Achievement Medal
Private,3052061,Ilise,De Andisie,11/4/2022,Indonesia,F-18,4009,86,Distinguished Flying Cross
Private,8219396,Clyde,Cullotey,12/17/2022,Vietnam,A-10,5134,37,Air Force Achievement Medal
Captain,8480305,Zenia,Raw,3/25/2023,Guatemala,F-16,9118,518,Air Medal
Major,3288714,Eadith,Melley,10/4/2022,United States,F-22,7982,409,Air Force Commendation Medal
Major,5207054,Paxton,Heephy,10/25/2022,China,F-18,9638,801,Air Force Achievement Medal
General,2035851,Elvis,Tissier,12/7/2022,Ivory Coast,F-22,2792,880,Air Force Commendation Medal
Corporal,1987638,Hadley,Vater,10/5/2022,China,A-10,7054,508,Air Force Achievement Medal
Lieutenant,7254121,Addi,Laroux,6/23/2022,Philippines,F-18,9637,815,Distinguished Flying Cross
Corporal,2582849,Galven,Cirlos,3/23/2023,Nepal,F-35,496,498,Distinguished Flying Cross
Lieutenant,4260857,Adorne,Milnthorpe,9/3/2022,China,F-16,1357,254,Air Medal
